FORECAST JOB: 7052 , FORECAST RUN: MAX,,,,,,,,,,,,,,,,,,,
BOM PATH, STATUS, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, STATUS, WAREHOUSE, PO NUMBER, VENDOR, PRED ON SITE, GROUP-PERF, SKETCH, PRIORITY,PERCENTAGE COMPLETE,CLIENT-REV,SPEC,CWP
PIPING/7052/J04/327-1,Completed with Current Inventory.,1,PWRCAEACEAIEBZ~3X2,3X2,"- RED CONC; ASME B16.9; BE; SCH 40S; SS ASTM A403 GR WP304/WP304L (DUAL-STAMPED) - L55EF1DA 3X2""",1,ea,1,Complete,BATON ROUGE SHOP, , , ,FITTINGS,PM102XA-C-97636.01-1,-,100%,0,FB8,1
PIPING/7052/J04/327-1,Completed with Current Inventory.,2,PWRCAEACEAIEBZ~3X2,3X2,"- RED CONC; ASME B16.9; BE; SCH 40S; SS ASTM A403 GR WP304/WP304L (DUAL-STAMPED) - L55EF1DA 3X2""",1,ea,1,Complete,BATON ROUGE SHOP, , , ,FITTINGS,PM102XA-C-97636.01-1,-,100%,0,FB8,1
PIPING/7052/J04/327-1,Completed with Current Inventory.,3,POLWESZCECIAIZ~3X1 1/2,3X1 1/2,"- ELBOLET BE; MSS SP-97; SCH 40S X SCH 80S; SS ASTM A182 GR F304/F304L (DUAL-STAMPED) - L56GF1J 3X1 1/2""",1,ea,1,Complete,BATON ROUGE SHOP, , , ,FITTINGS,PM102XA-C-97636.01-1,-,100%,0,FB8,1
PIPING/7052/J04/327-1,Completed with Current Inventory.,4,PWLCAEACEAIEBZ~3,3,"- ELL 90-DEG LR; ASME B16.9; BE; SCH 40S; SS ASTM A403 GR WP304/WP304L (DUAL-STAMPED) - L50EF1BC 3""",1,ea,1,Complete,BATON ROUGE SHOP, , , ,FITTINGS,PM102XA-C-97636.01-1,-,100%,0,FB8,1
PIPING/7052/J04/327-1,Completed with Current Inventory.,5,PWRCAEACECIEBZ~2X1 1/2,2X1 1/2,"- RED CONC; ASME B16.9; BE; SCH 40S X SCH 80S; SS ASTM A403 GR WP304/WP304L (DUAL-STAMPED) 2X1 1/2""",1,ea,1,Complete,BATON ROUGE SHOP, , , ,FITTINGS,PM102XA-C-97636.01-1,-,100%,0,FB8,1
PIPING/7052/J04/327-1,Completed with Current Inventory.,6,PWRCAEACECIEBZ~2X1,2X1,"- RED CONC; ASME B16.9; BE; SCH 40S X SCH 80S; SS ASTM A403 GR WP304/WP304L (DUAL-STAMPED) 2X1""",1,ea,1,Complete,BATON ROUGE SHOP, , , ,FITTINGS,PM102XA-C-97636.01-1,-,100%,0,FB8,1
PIPING/7052/J04/327-1,Completed with Current Inventory.,7,PFACADAACGIAIZ~1 1/2,1 1/2,"- FLG WN; RF; ASME B16.5; CL 150; SCH 80S; SS ASTM A182 GR F304/F304L (DUAL-STAMPED) - L40BF3DG 1 1/2""",1,ea,1,Complete,BATON ROUGE SHOP, , , ,FLANGES,PM102XA-C-97636.01-1,-,100%,0,FB8,1
PIPING/7052/J04/327-1,Completed with Current Inventory.,8,PFACADAACGIAIZ~1 1/2,1 1/2,"- FLG WN; RF; ASME B16.5; CL 150; SCH 80S; SS ASTM A182 GR F304/F304L (DUAL-STAMPED) - L40BF3DG 1 1/2""",1,ea,1,Complete,BATON ROUGE SHOP, , , ,FLANGES,PM102XA-C-97636.01-1,-,100%,0,FB8,1
PIPING/7052/J04/327-1,Completed with Current Inventory.,9,PFACADAACGIAIZ~1,1,"- FLG WN; RF; ASME B16.5; CL 150; SCH 80S; SS ASTM A182 GR F304/F304L (DUAL-STAMPED) - L40BF3DG 1""",1,ea,1,Complete,BATON ROUGE SHOP, , , ,FLANGES,PM102XA-C-97636.01-1,-,100%,0,FB8,1
PIPING/7052/J04/328-1,Completed with Current Inventory.,1,PPAACBBZCGIAIZ~1 1/2,1 1/2,"- PIPE; SMLS; ASME B36.19M; PL END; SCH 80S; SS ASTM A312 GR TP304/TP304L (DUAL-STAMPED) - L13GF1 1 1/2""",1.3,ft,1,Complete,BATON ROUGE SHOP, , , ,PIPE,PM102XA-C-97636.02-1,-,100%,0,FB8,1
PIPING/7052/J04/328-1,Completed with Current Inventory.,2,PWTBAEACGAIEBZ~1 1/2X3/4,1 1/2X3/4,"- TEE RED; ASME B16.9; BE; SCH 80S; SS ASTM A403 GR WP304/WP304L (DUAL-STAMPED) - L51GF1D 1 1/2X3/4""",1,ea,1,Complete,BATON ROUGE SHOP, , , ,FITTINGS,PM102XA-C-97636.02-1,-,100%,0,FB8,1
